sample,Gene,Z-score,group,replicate
P_2,Aasdhppt,-0.7913757154841508,Posterior,2
P_3,Aasdhppt,0.594997756776453,Posterior,3
S_1,Aasdhppt,0.2810916752598777,Somite,1
S_2,Aasdhppt,0.5549112277574395,Somite,2
S_3,Aasdhppt,0.4198364210984185,Somite,3
A_1,Aatf,0.5724251280271146,Anterior,1
A_2,Aatf,-1.0898189159014946,Anterior,2
A_3,Aatf,1.054067428486096,Anterior,3
P_1,Aatf,-1.7420973334766694,Posterior,1
P_2,Aatf,-0.8865947407158999,Posterior,2
P_3,Aatf,0.1786756071642349,Posterior,3
S_1,Aatf,-0.2472521077747171,Somite,1
S_2,Aatf,1.330765921953882,Somite,2
S_3,Aatf,0.8298290122375886,Somite,3
A_1,Abat,0.3244942700349783,Anterior,1
A_2,Abat,0.591834936323617,Anterior,2
A_3,Abat,0.3769943576572674,Anterior,3
P_1,Abat,0.7118394340794816,Posterior,1
P_2,Abat,0.6050248861563909,Posterior,2
P_3,Abat,1.0130394652354977,Posterior,3
S_1,Abat,-2.3844859120948496,Somite,1
S_2,Abat,-0.7779226674650764,Somite,2
S_3,Abat,-0.4608187699273019,Somite,3
A_1,Abcb10,0.2161769435559077,Anterior,1
A_2,Abcb10,1.454808164116691,Anterior,2
A_3,Abcb10,0.6956443771319981,Anterior,3
P_1,Abcb10,-1.7166910058666438,Posterior,1
P_2,Abcb10,0.8617188734589334,Posterior,2
P_3,Abcb10,0.6789952389863133,Posterior,3
S_1,Abcb10,-1.3613206639492663,Somite,1
S_2,Abcb10,-0.3638328978634047,Somite,2
S_3,Abcb10,-0.465499029570509,Somite,3
A_1,Abcb1b,-1.2703664346591503,Anterior,1
A_2,Abcb1b,0.7922054121781328,Anterior,2
A_3,Abcb1b,-1.741341121293694,Anterior,3
P_1,Abcb1b,0.3054521504172543,Posterior,1
P_2,Abcb1b,0.3135841133915246,Posterior,2
P_3,Abcb1b,-1.0562020606426152,Posterior,3
S_1,Abcb1b,0.8551680951380713,Somite,1
S_2,Abcb1b,0.7203355620682904,Somite,2
S_3,Abcb1b,1.081164283402201,Somite,3
A_1,Abcb6,-0.9638748920171002,Anterior,1
A_2,Abcb6,0.3635416113141124,Anterior,2
A_3,Abcb6,-1.6387400920088762,Anterior,3
P_1,Abcb6,1.550120076407434,Posterior,1
P_2,Abcb6,-0.8354075491949693,Posterior,2
P_3,Abcb6,1.4027278415300002,Posterior,3
S_1,Abcb6,0.3526429691463273,Somite,1
S_2,Abcb6,0.0145917364214682,Somite,2
S_3,Abcb6,-0.2456017015983838,Somite,3
A_1,Abcb7,-0.1112179551471707,Anterior,1
A_2,Abcb7,-0.8395707910371782,Anterior,2
A_3,Abcb7,0.5474471612759862,Anterior,3
P_1,Abcb7,1.973951909340841,Posterior,1
P_2,Abcb7,-0.7725616785313237,Posterior,2
P_3,Abcb7,-1.7790483161222357,Posterior,3
S_1,Abcb7,0.2761758841523,Somite,1
S_2,Abcb7,0.3569427089969361,Somite,2
S_3,Abcb7,0.3478810770719344,Somite,3
A_1,Abcb8,0.336442084544914,Anterior,1
A_2,Abcb8,0.2529141000734681,Anterior,2
A_3,Abcb8,0.3157346556556122,Anterior,3
P_1,Abcb8,1.9584205647981776,Posterior,1
